,Nodes,Time (s),Quantity,Type,Hue
0,32,5.16642266703125,Construct,Real,Opt 0
1,32,5.164401132851562,Construct,Real,Opt 0
2,32,5.164069538125,Construct,Real,Opt 0
3,32,5.1762774589218745,Construct,Real,Opt 0
4,32,5.183636106062499,Construct,Real,Opt 0
5,64,6.001430182472656,Construct,Real,Opt 0
6,64,6.011236359199218,Construct,Real,Opt 0
7,64,5.984107328089845,Construct,Real,Opt 0
8,64,6.010930866777343,Construct,Real,Opt 0
9,64,6.009130954039064,Construct,Real,Opt 0
10,96,7.0373621319375,Construct,Real,Opt 0
11,96,6.873162078187501,Construct,Real,Opt 0
12,96,6.889699490731771,Construct,Real,Opt 0
13,96,6.919997278578125,Construct,Real,Opt 0
14,96,6.857948120505209,Construct,Real,Opt 0
15,128,7.721184503580078,Construct,Real,Opt 0
16,128,7.861922735417969,Construct,Real,Opt 0
17,128,7.7574948738789065,Construct,Real,Opt 0
18,128,7.718932261228516,Construct,Real,Opt 0
19,128,7.701734138273437,Construct,Real,Opt 0
20,192,9.266312077058593,Construct,Real,Opt 0
21,192,9.287147653175781,Construct,Real,Opt 0
22,192,9.29136255255599,Construct,Real,Opt 0
23,192,9.281429559372397,Construct,Real,Opt 0
24,192,9.261509232481771,Construct,Real,Opt 0
25,256,11.130978920373046,Construct,Real,Opt 0
26,256,11.13208633651465,Construct,Real,Opt 0
27,256,11.114772044386719,Construct,Real,Opt 0
28,256,11.141197298621094,Construct,Real,Opt 0
29,256,11.137466475107422,Construct,Real,Opt 0
30,32,5.140533485000001,Construct,Estimate,Opt 0 Estimate
31,64,5.841900303000001,Construct,Estimate,Opt 0 Estimate
32,96,6.55976277,Construct,Estimate,Opt 0 Estimate
33,128,7.289196124,Construct,Estimate,Opt 0 Estimate
34,192,8.851000780500001,Construct,Estimate,Opt 0 Estimate
35,256,10.207239350999998,Construct,Estimate,Opt 0 Estimate
36,512,16.530403557,Construct,Estimate,Opt 0 Estimate
37,1024,29.340525454999998,Construct,Estimate,Opt 0 Estimate
38,1536,40.582581590000004,Construct,Estimate,Opt 0 Estimate
39,2048,50.7625025635,Construct,Estimate,Opt 0 Estimate
40,2560,49.28916392599999,Construct,Estimate,Opt 0 Estimate
41,3072,50.99796481,Construct,Estimate,Opt 0 Estimate
42,3584,49.94431594325,Construct,Estimate,Opt 0 Estimate
43,4096,50.747001235750005,Construct,Estimate,Opt 0 Estimate
44,32,3.7779999928125,Calibrate,Real,Opt 0
45,32,3.7788897063828126,Calibrate,Real,Opt 0
46,32,3.7778301483437495,Calibrate,Real,Opt 0
47,32,3.777937275804687,Calibrate,Real,Opt 0
48,32,3.775833256859375,Calibrate,Real,Opt 0
49,64,4.56815429884375,Calibrate,Real,Opt 0
50,64,4.568399815164062,Calibrate,Real,Opt 0
51,64,4.56784329840625,Calibrate,Real,Opt 0
52,64,4.566471974308594,Calibrate,Real,Opt 0
53,64,4.5666830302773445,Calibrate,Real,Opt 0
54,96,5.208520800463542,Calibrate,Real,Opt 0
55,96,5.214367573963542,Calibrate,Real,Opt 0
56,96,5.210243072942709,Calibrate,Real,Opt 0
57,96,5.207672213929688,Calibrate,Real,Opt 0
58,96,5.210625180835938,Calibrate,Real,Opt 0
59,128,5.774274390728515,Calibrate,Real,Opt 0
60,128,5.770233332423828,Calibrate,Real,Opt 0
61,128,5.771936341939454,Calibrate,Real,Opt 0
62,128,5.767494349714844,Calibrate,Real,Opt 0
63,128,5.766375171974609,Calibrate,Real,Opt 0
64,192,6.872207728515623,Calibrate,Real,Opt 0
65,192,6.872939932390625,Calibrate,Real,Opt 0
66,192,6.870643601954427,Calibrate,Real,Opt 0
67,192,6.871132029848958,Calibrate,Real,Opt 0
68,192,6.871530273128907,Calibrate,Real,Opt 0
69,256,7.889864052253906,Calibrate,Real,Opt 0
70,256,7.8936283069375,Calibrate,Real,Opt 0
71,256,7.893782566639649,Calibrate,Real,Opt 0
72,256,7.892325371019532,Calibrate,Real,Opt 0
73,256,7.891333311265624,Calibrate,Real,Opt 0
74,32,3.7756446525,Calibrate,Estimate,Opt 0 Estimate
75,64,4.5769214255,Calibrate,Estimate,Opt 0 Estimate
76,96,5.220537753,Calibrate,Estimate,Opt 0 Estimate
77,128,5.7358283839999995,Calibrate,Estimate,Opt 0 Estimate
78,192,6.8262763765,Calibrate,Estimate,Opt 0 Estimate
79,256,7.861781514,Calibrate,Estimate,Opt 0 Estimate
80,512,12.16632144575,Calibrate,Estimate,Opt 0 Estimate
81,1024,19.47089867075,Calibrate,Estimate,Opt 0 Estimate
82,1536,25.858942354249997,Calibrate,Estimate,Opt 0 Estimate
83,2048,30.597562765,Calibrate,Estimate,Opt 0 Estimate
